,mean reward,Fail Probability,method
604,219060,40,Supervisory
605,187980,40,Supervisory
606,179120,40,Supervisory
607,77940,40,Supervisory
608,117000,40,Supervisory
609,107970,40,Supervisory
610,208040,40,Supervisory
611,225930,40,Supervisory
612,159120,40,Supervisory
613,219100,40,Supervisory
614,108020,40,Supervisory
615,217040,40,Supervisory
616,79100,40,Supervisory
617,178950,40,Supervisory
618,218020,40,Supervisory
619,186810,40,Supervisory
620,109150,40,Supervisory
621,139030,40,Supervisory
622,158950,40,Supervisory
623,118090,40,Supervisory
624,219140,40,Supervisory
625,126970,40,Supervisory
626,119020,40,Supervisory
627,207060,40,Supervisory
628,118050,40,Supervisory
629,209050,40,Supervisory
630,229100,40,Supervisory
631,169030,40,Supervisory
632,229040,40,Supervisory
633,176960,40,Supervisory
634,169030,40,Supervisory
635,155970,40,Supervisory
636,166970,40,Supervisory
637,179100,40,Supervisory
638,169030,40,Supervisory
639,229050,40,Supervisory
640,178930,40,Supervisory
641,237950,40,Supervisory
642,176880,40,Supervisory
643,108980,40,Supervisory
644,99050,40,Supervisory
645,237980,40,Supervisory
646,137010,40,Supervisory
647,159010,40,Supervisory
648,229030,40,Supervisory
649,78930,40,Supervisory
650,179100,50,Supervisory
651,159100,50,Supervisory
652,137970,50,Supervisory
653,219030,50,Supervisory
654,18040,50,Supervisory
655,89040,50,Supervisory
656,78030,50,Supervisory
657,159100,50,Supervisory
658,107990,50,Supervisory
659,237950,50,Supervisory
660,188010,50,Supervisory
661,119000,50,Supervisory
662,18030,50,Supervisory
663,226980,50,Supervisory
664,128990,50,Supervisory
665,219090,50,Supervisory
666,59040,50,Supervisory
667,107980,50,Supervisory
668,18120,50,Supervisory
669,67920,50,Supervisory
670,218970,50,Supervisory
671,169040,50,Supervisory
672,159110,50,Supervisory
673,169130,50,Supervisory
674,118070,50,Supervisory
675,227920,50,Supervisory
676,119050,50,Supervisory
677,8030,50,Supervisory
678,66930,50,Supervisory
679,-70900,50,Supervisory
680,49000,50,Supervisory
681,86860,50,Supervisory
682,119140,50,Supervisory
683,58070,50,Supervisory
684,179060,50,Supervisory
685,169120,50,Supervisory
686,99090,50,Supervisory
687,219060,50,Supervisory
688,158030,50,Supervisory
689,134850,50,Supervisory
690,179110,50,Supervisory
691,119040,50,Supervisory
692,229020,50,Supervisory
693,188980,50,Supervisory
694,116990,50,Supervisory
695,218980,50,Supervisory
696,-23000,50,Supervisory
697,128960,50,Supervisory
698,115950,50,Supervisory
699,118040,50,Supervisory
700,166980,60,Supervisory
701,227010,60,Supervisory
702,137950,60,Supervisory
703,47970,60,Supervisory
704,109110,60,Supervisory
705,109090,60,Supervisory
706,99100,60,Supervisory
707,117000,60,Supervisory
708,108080,60,Supervisory
709,99140,60,Supervisory
710,169000,60,Supervisory
711,159040,60,Supervisory
712,108080,60,Supervisory
713,58040,60,Supervisory
714,108010,60,Supervisory
715,169000,60,Supervisory
716,159070,60,Supervisory
717,28040,60,Supervisory
718,166990,60,Supervisory
719,148090,60,Supervisory
720,59090,60,Supervisory
721,66950,60,Supervisory
722,229060,60,Supervisory
723,189060,60,Supervisory
724,48010,60,Supervisory
725,117870,60,Supervisory
726,138940,60,Supervisory
727,79070,60,Supervisory
728,138990,60,Supervisory
729,106960,60,Supervisory
730,118030,60,Supervisory
731,57950,60,Supervisory
732,108010,60,Supervisory
733,158040,60,Supervisory
734,98980,60,Supervisory
735,165920,60,Supervisory
736,229020,60,Supervisory
737,78980,60,Supervisory
738,78030,60,Supervisory
739,228970,60,Supervisory
740,18930,60,Supervisory
741,56810,60,Supervisory
742,138070,60,Supervisory
743,209160,60,Supervisory
744,98020,60,Supervisory
745,175930,60,Supervisory
746,228080,60,Supervisory
747,167970,60,Supervisory
748,159050,60,Supervisory
749,109050,60,Supervisory
750,138030,70,Supervisory
751,64860,70,Supervisory
752,167960,70,Supervisory
753,169020,70,Supervisory
754,119070,70,Supervisory
755,209160,70,Supervisory
756,169000,70,Supervisory
757,18030,70,Supervisory
758,218070,70,Supervisory
759,177020,70,Supervisory
760,149170,70,Supervisory
761,158020,70,Supervisory
762,17980,70,Supervisory
763,69060,70,Supervisory
764,46920,70,Supervisory
765,159130,70,Supervisory
766,107010,70,Supervisory
767,109040,70,Supervisory
768,219100,70,Supervisory
769,108050,70,Supervisory
770,178070,70,Supervisory
771,109110,70,Supervisory
772,139140,70,Supervisory
773,109160,70,Supervisory
774,149140,70,Supervisory
775,18910,70,Supervisory
776,179100,70,Supervisory
