,mean reward,Rejection Type 1 Cost,method
787,154100,35000,Supervisory
788,114040,35000,Supervisory
789,154070,35000,Supervisory
790,164010,35000,Supervisory
791,219060,35000,Supervisory
792,189040,35000,Supervisory
793,219140,35000,Supervisory
794,164040,35000,Supervisory
795,123980,35000,Supervisory
796,124020,35000,Supervisory
797,219120,35000,Supervisory
798,73950,35000,Supervisory
799,124040,35000,Supervisory
800,161500,37500,Supervisory
801,101590,37500,Supervisory
802,121470,37500,Supervisory
803,160580,37500,Supervisory
804,120540,37500,Supervisory
805,219150,37500,Supervisory
806,219060,37500,Supervisory
807,238980,37500,Supervisory
808,198920,37500,Supervisory
809,227980,37500,Supervisory
810,219030,37500,Supervisory
811,111530,37500,Supervisory
812,101560,37500,Supervisory
813,219160,37500,Supervisory
814,189050,37500,Supervisory
815,131500,37500,Supervisory
816,228990,37500,Supervisory
817,109550,37500,Supervisory
818,199020,37500,Supervisory
819,218120,37500,Supervisory
820,104020,37500,Supervisory
821,209140,37500,Supervisory
822,179070,37500,Supervisory
823,219060,37500,Supervisory
824,129140,37500,Supervisory
825,179080,37500,Supervisory
826,94020,37500,Supervisory
827,239000,37500,Supervisory
828,84010,37500,Supervisory
829,161480,37500,Supervisory
830,209100,37500,Supervisory
831,229070,37500,Supervisory
832,168080,37500,Supervisory
833,189020,37500,Supervisory
834,229120,37500,Supervisory
835,248920,37500,Supervisory
836,151530,37500,Supervisory
837,111510,37500,Supervisory
838,161540,37500,Supervisory
839,141620,37500,Supervisory
840,63960,37500,Supervisory
841,138070,37500,Supervisory
842,228950,37500,Supervisory
843,179100,37500,Supervisory
844,160500,37500,Supervisory
845,169130,37500,Supervisory
846,101620,37500,Supervisory
847,179140,37500,Supervisory
848,219080,37500,Supervisory
849,151630,37500,Supervisory
850,198980,40000,Supervisory
851,169160,40000,Supervisory
852,228010,40000,Supervisory
853,219100,40000,Supervisory
854,168980,40000,Supervisory
855,159040,40000,Supervisory
856,149140,40000,Supervisory
857,238960,40000,Supervisory
858,169130,40000,Supervisory
859,97870,40000,Supervisory
860,109100,40000,Supervisory
861,188960,40000,Supervisory
862,159050,40000,Supervisory
863,219040,40000,Supervisory
864,108030,40000,Supervisory
865,238940,40000,Supervisory
866,169020,40000,Supervisory
867,178070,40000,Supervisory
868,57850,40000,Supervisory
869,178060,40000,Supervisory
870,89100,40000,Supervisory
871,219080,40000,Supervisory
872,119050,40000,Supervisory
873,179040,40000,Supervisory
874,208110,40000,Supervisory
875,227870,40000,Supervisory
876,227970,40000,Supervisory
877,119020,40000,Supervisory
878,228000,40000,Supervisory
879,187930,40000,Supervisory
880,49040,40000,Supervisory
881,129000,40000,Supervisory
882,149010,40000,Supervisory
883,159040,40000,Supervisory
884,149100,40000,Supervisory
885,89100,40000,Supervisory
886,209140,40000,Supervisory
887,179080,40000,Supervisory
888,208920,40000,Supervisory
889,169020,40000,Supervisory
890,69070,40000,Supervisory
891,97930,40000,Supervisory
