,mean reward,Rework Cost,method
571,129060,3000,Supervisory
572,239050,3000,Supervisory
573,229100,3000,Supervisory
574,219100,3000,Supervisory
575,238940,3000,Supervisory
576,225970,3000,Supervisory
577,119140,3000,Supervisory
578,106040,3000,Supervisory
579,129000,3000,Supervisory
580,168950,3000,Supervisory
581,169050,3000,Supervisory
582,219050,3000,Supervisory
583,129070,3000,Supervisory
584,229040,3000,Supervisory
585,169040,3000,Supervisory
586,116000,3000,Supervisory
587,109080,3000,Supervisory
588,166120,3000,Supervisory
589,79130,3000,Supervisory
590,179040,3000,Supervisory
591,75930,3000,Supervisory
592,142970,3000,Supervisory
593,235960,3000,Supervisory
594,216010,3000,Supervisory
595,219070,3000,Supervisory
596,169110,3000,Supervisory
597,53030,3000,Supervisory
598,168990,3000,Supervisory
599,205890,3000,Supervisory
600,39000,4000,Supervisory
601,228990,4000,Supervisory
602,119070,4000,Supervisory
603,139040,4000,Supervisory
604,219050,4000,Supervisory
605,145080,4000,Supervisory
606,159110,4000,Supervisory
607,225010,4000,Supervisory
608,135040,4000,Supervisory
609,229040,4000,Supervisory
610,168980,4000,Supervisory
611,92930,4000,Supervisory
612,119070,4000,Supervisory
613,79080,4000,Supervisory
614,149160,4000,Supervisory
615,215030,4000,Supervisory
616,169010,4000,Supervisory
617,225020,4000,Supervisory
618,139070,4000,Supervisory
619,239030,4000,Supervisory
620,155070,4000,Supervisory
621,105010,4000,Supervisory
622,209120,4000,Supervisory
623,168980,4000,Supervisory
624,19090,4000,Supervisory
625,178960,4000,Supervisory
626,238940,4000,Supervisory
627,99050,4000,Supervisory
628,64960,4000,Supervisory
629,169130,4000,Supervisory
630,229100,4000,Supervisory
631,229000,4000,Supervisory
632,135040,4000,Supervisory
633,139150,4000,Supervisory
634,119060,4000,Supervisory
635,219090,4000,Supervisory
636,119050,4000,Supervisory
637,69000,4000,Supervisory
638,248940,4000,Supervisory
639,179110,4000,Supervisory
640,219100,4000,Supervisory
641,219030,4000,Supervisory
642,109040,4000,Supervisory
643,209080,4000,Supervisory
644,215070,4000,Supervisory
645,159060,4000,Supervisory
646,155090,4000,Supervisory
647,79110,4000,Supervisory
648,238960,4000,Supervisory
649,238930,4000,Supervisory
650,79060,5000,Supervisory
651,114070,5000,Supervisory
652,109070,5000,Supervisory
653,219100,5000,Supervisory
654,129000,5000,Supervisory
655,149160,5000,Supervisory
656,129000,5000,Supervisory
657,209160,5000,Supervisory
658,159040,5000,Supervisory
659,178940,5000,Supervisory
660,124050,5000,Supervisory
661,224030,5000,Supervisory
662,214030,5000,Supervisory
663,238990,5000,Supervisory
664,219040,5000,Supervisory
665,174000,5000,Supervisory
666,149090,5000,Supervisory
667,189100,5000,Supervisory
668,183990,5000,Supervisory
669,129040,5000,Supervisory
670,69040,5000,Supervisory
671,169040,5000,Supervisory
672,229090,5000,Supervisory
673,139140,5000,Supervisory
674,238960,5000,Supervisory
675,149050,5000,Supervisory
676,129040,5000,Supervisory
677,123960,5000,Supervisory
678,164010,5000,Supervisory
679,223980,5000,Supervisory
